mid;status;title;url
M112060406;ok;File:Carl Hagberg SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112060406
M112060426;ok;File:Carl Hagberg SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112060426
M112063076;ok;File:Carl Curman SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112063076
M112063101;ok;File:Carl Curman SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112063101
M112063125;ok;File:Carl Curman SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112063125
M112063163;ok;File:Carl Curman SPA4.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112063163
M112063200;ok;File:Carl Curman SPA5.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112063200
M112077688;ok;File:Carl Bonde SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112077688
M112077748;ok;File:Carl Bonde SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112077748
M112079858;ok;File:Carl Anckarsvärd SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112079858
M112079931;ok;File:Carl Bonde SPA11.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112079931
M112086243;ok;File:Bertha Falkenberg-With SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112086243
M112086380;ok;File:Brokinds slott (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112086380
M112086435;ok;File:Bertha Falkenberg-With SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112086435
M112094078;ok;File:Carl Bonde SPA21.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112094078
M112184427;ok;File:Axel Sammuli SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112184427
M112184449;ok;File:Axel Sammuli SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112184449
M112184530;ok;File:Axel Sammuli SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112184530
M112184587;ok;File:Axel Sammuli SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112184587
M112186070;ok;File:Carl Björling SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112186070
M112186190;ok;File:Carl Björling SPA4.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112186190
M112186336;ok;File:Carl Björling SPA6.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112186336
