item1_label,item1_id,item1_api,item1_image,item2_label,item2_id,item2_api,item2_image,distance
Axel Rappe,sj9PGLAlnmUAAAAAABg3vQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABg3vQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABg3vQ,Axel Rappe,9Y5iReTPHdAAAAAAAABLsA,https://portrattarkiv.se/endpoints/portraits.php?id=9Y5iReTPHdAAAAAAAABLsA,https://portrattarkiv.se/endpoints/file.php?id=9Y5iReTPHdAAAAAAAABLsA,0
Axel Rappe,sj9PGLAlnmUAAAAAABgrVg,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABgrVg,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABgrVg,Axel Rappe,9Y5iReTPHdAAAAAAAABK2Q,https://portrattarkiv.se/endpoints/portraits.php?id=9Y5iReTPHdAAAAAAAABK2Q,https://portrattarkiv.se/endpoints/file.php?id=9Y5iReTPHdAAAAAAAABK2Q,0
Betty Deland,sj9PGLAlnmUAAAAAAB2aLA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2aLA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2aLA,Betty Deland,sj9PGLAlnmUAAAAAAA8KAA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAA8KAA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAA8KAA,0
Betty Deland,sj9PGLAlnmUAAAAAAB2alw,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2alw,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2alw,Betty Deland,sj9PGLAlnmUAAAAAAA8J_g,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAA8J_g,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAA8J_g,0
Betty Deland,sj9PGLAlnmUAAAAAAB2bbA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2bbA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2bbA,Betty Deland,sj9PGLAlnmUAAAAAAA8KAw,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAA8KAw,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAA8KAw,0
Betty Deland,sj9PGLAlnmUAAAAAAB2bfg,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2bfg,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2bfg,Betty Deland,sj9PGLAlnmUAAAAAAA8KBA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAA8KBA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAA8KBA,0
Betty Deland,sj9PGLAlnmUAAAAAAB2biQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2biQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2biQ,Betty Deland,sj9PGLAlnmUAAAAAAA8J_Q,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAA8J_Q,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAA8J_Q,0
Betty Deland,sj9PGLAlnmUAAAAAAB2d5g,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2d5g,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2d5g,Betty Deland,sj9PGLAlnmUAAAAAAA8J_A,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAA8J_A,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAA8J_A,0
Betty Deland,sj9PGLAlnmUAAAAAAB2d9g,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2d9g,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2d9g,Betty Deland,sj9PGLAlnmUAAAAAAA8KAg,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAA8KAg,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAA8KAg,0
Betty Deland,sj9PGLAlnmUAAAAAAB2dAQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2dAQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2dAQ,Betty Deland,sj9PGLAlnmUAAAAAAA8J_w,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAA8J_w,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAA8J_w,0
Betty Deland,sj9PGLAlnmUAAAAAABKEYA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKEYA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKEYA,Betty Deland,sj9PGLAlnmUAAAAAAA8J_g,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAA8J_g,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAA8J_g,0
