"mid","status","title","url"
"M110465761","ok","File:Adolf Modéer SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110465761"
"M110465854","ok","File:Adolf Modéer SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110465854"
"M110492434","ok","File:Af Johan Bjerkén SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110492434"
"M110535592","ok","File:Aina Eriksson-Enckell SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110535592"
"M110555103","ok","File:Adolf Noreen SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110555103"
"M110597870","ok","File:Agne Beijer SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110597870"
"M110597959","ok","File:Agne Beijer SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110597959"
"M110598027","ok","File:Agne Beijer SPA4.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110598027"
"M110598060","ok","File:Agne Beijer SPA5.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110598060"
"M110690666","ok","File:Agnes Lagerstedt SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110690666"
"M110690676","ok","File:Agnes Lagerstedt SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110690676"
"M110690688","ok","File:Agnes Lagerstedt SPA4.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110690688"
"M110690705","ok","File:Agnes Lagerstedt SPA5.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110690705"
"M110690719","ok","File:Agnes Lagerstedt SPA6.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110690719"
"M110791334","ok","File:Agnes Ekermann SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110791334"
"M110885524","ok","File:Adolf Lindqvist SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110885524"
"M110885529","ok","File:Adolf Lindqvist SPA2 (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110885529"
"M110946798","ok","File:Agneta Horn SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110946798"
"M111208803","ok","File:Agda Reuterskiöld-Montelius SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111208803"
"M111363382","ok","File:Af Rosenschöld Hanna Rydh-Munck SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111363382"
"M111556462","ok","File:Adolf Lindgren SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111556462"
"M111556522","ok","File:Adolf Lindgren SPA2 (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111556522"
"M111556935","ok","File:Adolf Rising SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111556935"
"M111556971","ok","File:Adolf Rising SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111556971"
"M111557159","ok","File:Adolf Rising SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111557159"
"M111557205","ok","File:Adolf Rising SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111557205"
"M111557239","ok","File:Adolf Rising SPA4.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111557239"
"M111557689","ok","File:Adéle Vennersten-Jagenburg SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111557689"
"M111558244","ok","File:Agda Meyerson SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111558244"
"M111558354","ok","File:Agda Meyerson SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111558354"
"M111559114","ok","File:Agne Beijer SPA2 (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111559114"
