wd,,score,max,spaid,FirstName,LastName,BirthYear
http://www.wikidata.org/entity/Q95179,88,54.759872,54.759872,VaM-WW8ntnAAAAAAAAABSw,Maximilian,Württemberg,1689
http://www.wikidata.org/entity/Q26239780,20148,54.596996,54.596996,4e1scVvZ-EAAAAAAAAAcug,Eggert,Elers,1610
http://www.wikidata.org/entity/Q42913101,27472,54.497494,54.497494,YB0QHyfj0hAAAAAAAACUMA,Alrik,Sundén-Cullberg,1867
http://www.wikidata.org/entity/Q5613574,5339,54.444702,54.444702,sj9PGLAlnmUAAAAAAA7lsg,Fredrik,Cronstedt,1744
http://www.wikidata.org/entity/Q5912185,20715,54.263252,54.263252,0piq-fX0h5AAAAAAAAA0Uw,Josua,Kjellgren,1838
http://www.wikidata.org/entity/Q4944388,2379,54.16655,54.16655,_P7S9YzQCjAAAAAAAAAtew,Maria,DeLaGardie,1627
http://www.wikidata.org/entity/Q5585425,12740,54.14241,54.14241,WQknIBFpuuAAAAAAAAN86Q,Nicolaus,Braun,1658
http://www.wikidata.org/entity/Q5933371,22713,54.01606,54.01606,seuNpYu6DKAAAAAAAABkKw,Ernst,Lancken-von-der,1841
http://www.wikidata.org/entity/Q5985564,11176,53.717266,53.717266,I_2wtd5VefAAAAAAAABIfw,Friedrich,Meves,1814
http://www.wikidata.org/entity/Q19312912,16115,53.66535,53.66535,IQojCnw0WmAAAAAAAABJRw,Fabian,von Fersen,1762
http://www.wikidata.org/entity/Q5605572,4434,53.629417,53.629417,sj9PGLAlnmUAAAAAAB2-zA,Josias,Cederhielm,1734
http://www.wikidata.org/entity/Q4993043,3787,53.61887,53.61887,YB0QHyfj0hAAAAAAAAHf_g,Oscar,Sturzen-Becker,1811
http://www.wikidata.org/entity/Q321706,889,53.489906,53.489906,mLh5P0pzYFAAAAAAAAAgrw,Henrik,von Buddenbrock,1685
http://www.wikidata.org/entity/Q5952104,24067,53.34814,53.34814,WQknIBFpuuAAAAAAAANfOA,Carl,Lilliehorn,1758
http://www.wikidata.org/entity/Q5959177,25334,53.22164,53.22164,WQknIBFpuuAAAAAAAANigw,Reinhold,von Lingen,1708
http://www.wikidata.org/entity/Q3355468,9053,53.008945,53.008945,vfWYdYT6EoAAAAAAAAA6VA,Elise,Ottesen-Jensen,1886
http://www.wikidata.org/entity/Q353693,1034,52.878387,52.878387,sj9PGLAlnmUAAAAAACbeSQ,Christopher,Polhem,1661
http://www.wikidata.org/entity/Q57852,26054,52.840492,52.840492,sj9PGLAlnmUAAAAAAB5Wvw,Karl Fredrik,af-Holstein-Gottorp,1700
http://www.wikidata.org/entity/Q6079209,19670,52.835884,52.835884,lzSYNK3ifoMAAAAAAAbcMw,von Fredrik,Rosen,1731
http://www.wikidata.org/entity/Q233319,287,52.73655,52.73655,VaM-WW8ntnAAAAAAAAAA3A,"av, Maria",Brandenburg,1599
http://www.wikidata.org/entity/Q1580190,3270,52.697292,52.697292,rkIpfGqHXrAAAAAAAADkfQ,Hans,von Liewen,1704
http://www.wikidata.org/entity/Q5605879,4534,52.6251,52.6251,sj9PGLAlnmUAAAAAAB5r-w,Magnus,von-Celse,1709
http://www.wikidata.org/entity/Q6185148,13587,52.623848,52.623848,YB0QHyfj0hAAAAAAAACvQQ,Lorentz,Sparrgren,1763
http://www.wikidata.org/entity/Q118888,162,52.462635,52.462635,sj9PGLAlnmUAAAAAAB2TTw,Johann,Hedlinger,1691
http://www.wikidata.org/entity/Q1385985,2998,52.410862,52.410862,sj9PGLAlnmUAAAAAAB2XBg,Kilian,Stobæus,1690
http://www.wikidata.org/entity/Q5568212,4973,52.388172,52.388172,sj9PGLAlnmUAAAAAAB2VLw,Joakim,Beck-Friis,1722
http://www.wikidata.org/entity/Q727574,1472,52.33627,52.33627,4e1scVvZ-EAAAAAAAAAQLA,Georg,von Döbeln,1758
http://www.wikidata.org/entity/Q450490,450,52.245445,52.245445,sj9PGLAlnmUAAAAAABVspQ,Notke,Bernt,1440
http://www.wikidata.org/entity/Q6034059,16503,52.21926,52.21926,4e1scVvZ-EAAAAAAAAAfYw,Elias,Palmskiöld,1667
http://www.wikidata.org/entity/Q3876458,9952,52.175014,52.175014,sj9PGLAlnmUAAAAAAB2Tbg,Niclas,Sahlgren,1701
http://www.wikidata.org/entity/Q2073728,6589,52.151955,52.151955,4e1scVvZ-EAAAAAAAAAdmA,Katarina,Karlsdotter-Vasa,1584
http://www.wikidata.org/entity/Q6060365,17666,52.12881,52.12881,9Y5iReTPHdAAAAAAAABBwQ,Olof,Rabenius,1730
http://www.wikidata.org/entity/Q792446,1552,51.978737,51.978737,sj9PGLAlnmUAAAAAABYcbw,Axel,von Faltzburg,1645
http://www.wikidata.org/entity/Q5605906,4554,51.97814,51.97814,AUBJHcnv_WAAAAAAAAA5ww,Ulric,Celsing,1731
http://www.wikidata.org/entity/Q234251,302,51.92998,51.92998,VaM-WW8ntnAAAAAAAAAA8g,"av, Lovisa",Preussen,1720
http://www.wikidata.org/entity/Q5700535,7368,51.869934,51.869934,4e1scVvZ-EAAAAAAAAAfJQ,Isaac,Cronström,1620
http://www.wikidata.org/entity/Q4172313,10065,51.726715,51.726715,sj9PGLAlnmUAAAAAABLZyQ,Johan,von Düring,1695
http://www.wikidata.org/entity/Q4977687,3612,51.475845,51.475845,YB0QHyfj0hAAAAAAAADUKA,Martina,von Schwerin,1789
http://www.wikidata.org/entity/Q18238021,26160,51.46044,51.46044,sj9PGLAlnmUAAAAAAA7PCA,Lars,Camin,1767
http://www.wikidata.org/entity/Q2938914,6972,51.39532,51.39532,sj9PGLAlnmUAAAAAABVt5w,Carl,von Breda,1759
http://www.wikidata.org/entity/Q3063538,7047,51.388733,51.388733,sj9PGLAlnmUAAAAAABKk2A,Fabian,von Fersen,1626
http://www.wikidata.org/entity/Q5778530,8283,51.307274,51.307274,1ha4xkDj-uAAAAAAAAA-WA,Emil,Gustrin,1839
http://www.wikidata.org/entity/Q4988547,3712,51.28453,51.28453,sj9PGLAlnmUAAAAAACYyzQ,Ida,Gawell-Blumenthal,1869
http://www.wikidata.org/entity/Q3740962,9858,51.255478,51.255478,sj9PGLAlnmUAAAAAABKkrQ,Otto,von Fersen,1623
http://www.wikidata.org/entity/Q4354057,10185,51.207794,51.207794,sj9PGLAlnmUAAAAAAB4vXw,August Maximilian,Myrberg,1797
http://www.wikidata.org/entity/Q1527703,3195,51.181614,51.181614,WQknIBFpuuAAAAAAAANgZA,Jakob,Björnståhl,1731
http://www.wikidata.org/entity/Q5746755,7717,51.012444,51.012444,sj9PGLAlnmUAAAAAABLHbw,Rutger,Fuchs,1682
http://www.wikidata.org/entity/Q5906242,20615,50.985573,50.985573,0piq-fX0h5AAAAAAAAAc0g,George,Kennedy,1850
http://www.wikidata.org/entity/Q246699,338,50.97603,50.97603,sj9PGLAlnmUAAAAAAB5qzA,Lars Lasse Lucidor,Johansson,1638
http://www.wikidata.org/entity/Q4937503,2317,50.755608,50.755608,VaM-WW8ntnAAAAAAAAAAxQ,Barbro,Stigsdotter,1472
http://www.wikidata.org/entity/Q1389093,3025,50.75416,50.75416,sj9PGLAlnmUAAAAAABzpTA,Jacob,Faggot,1699
http://www.wikidata.org/entity/Q741666,1487,50.59915,50.59915,sj9PGLAlnmUAAAAAABGG2g,Clas,Fleming-Larsson,1592
http://www.wikidata.org/entity/Q6167981,21175,50.588547,50.588547,YB0QHyfj0hAAAAAAAABgvA,Frans,von Schéele,1795
http://www.wikidata.org/entity/Q6170962,21257,50.568275,50.568275,sj9PGLAlnmUAAAAAAB4wIw,George,Scott,1804
http://www.wikidata.org/entity/Q4354836,10205,50.406456,50.406456,sj9PGLAlnmUAAAAAAA3rRw,Israel,Acrelius,1714
http://www.wikidata.org/entity/Q5568865,5028,50.29015,50.29015,sj9PGLAlnmUAAAAAABVseA,Andreas,von Behn,1650
http://www.wikidata.org/entity/Q5777354,8273,50.281246,50.281246,sj9PGLAlnmUAAAAAABLnsg,Abraham,Gustafschöld,1723
http://www.wikidata.org/entity/Q5992302,12254,50.241463,50.241463,sj9PGLAlnmUAAAAAABL1Qg,Robert,Montgomery-Cederhielm,1820
http://www.wikidata.org/entity/Q1910650,6487,50.143635,50.143635,TNQaWo324IAAAAAAAAD9Eg,Mathias,Benzelstierna,1713
http://www.wikidata.org/entity/Q37008074,23370,50.125416,50.125416,j6S8rJvx9lAAAAAAAADJbA,Johan,von Holten,1814
http://www.wikidata.org/entity/Q101363,109,50.124172,50.124172,sj9PGLAlnmUAAAAAABLHog,Alexander,von Erskein,1598
http://www.wikidata.org/entity/Q5971846,10882,50.115086,50.115086,I_2wtd5VefAAAAAAAAADUA,Lazarus,Magnus,1770
http://www.wikidata.org/entity/Q897157,1627,50.105877,50.105877,mLh5P0pzYFAAAAAAAAAviQ,Conrad,von Königsmarck,1634
http://www.wikidata.org/entity/Q1801266,6412,50.09562,50.09562,seuNpYu6DKAAAAAAAAABog,Geskel,Saloman,1821
http://www.wikidata.org/entity/Q343674,985,50.090664,50.090664,s04jCnobu5AAAAAAAAAFdA,Baltzar,von Platen,1804
http://www.wikidata.org/entity/Q353490,1029,50.082226,50.082226,sj9PGLAlnmUAAAAAAB5rzQ,Johan Gottlieb,Gahn,1745
http://www.wikidata.org/entity/Q5782206,8448,50.07384,50.07384,sj9PGLAlnmUAAAAAAB49ZA,Otto Julius,Hagelstam,1784
http://www.wikidata.org/entity/Q29470028,22145,50.028603,50.028603,YB0QHyfj0hAAAAAAAADUAA,Adolf,Schützercrantz,1802
http://www.wikidata.org/entity/Q6024976,16311,49.945507,49.945507,sj9PGLAlnmUAAAAAAB2Qmg,Johan,Olivecrantz,1633
http://www.wikidata.org/entity/Q5779478,8348,49.90843,49.90843,4e1scVvZ-EAAAAAAAAAdaw,Nils,Göransson-Gyllenstierna,1526
http://www.wikidata.org/entity/Q6175557,21312,49.84369,49.84369,YB0QHyfj0hAAAAAAAADSuQ,Gustaf,von Siegroth,1725
http://www.wikidata.org/entity/Q2014235,6518,49.771004,49.771004,sj9PGLAlnmUAAAAAAA3rGw,Pehr,Adlerfelt,1680
http://www.wikidata.org/entity/Q330454,970,49.748913,49.748913,TR3yO_GV8eAAAAAAAACD3g,Abraham,Edelcrantz-Clewberg,1754
http://www.wikidata.org/entity/Q5727216,11805,49.604927,49.604927,sj9PGLAlnmUAAAAAABLeRA,August,von Feilitzen,1815
http://www.wikidata.org/entity/Q2023971,6538,49.580082,49.580082,4e1scVvZ-EAAAAAAAAAbQw,Knut,Jönsson-Posse,1440
http://www.wikidata.org/entity/Q4767080,2227,49.517624,49.517624,j6S8rJvx9lAAAAAAAACudw,Anna,Hierta-Retzius,1841
http://www.wikidata.org/entity/Q4241651,10095,49.49413,49.49413,4e1scVvZ-EAAAAAAAAAfJw,Isaac,Cronström,1661
http://www.wikidata.org/entity/Q5621619,5802,49.483337,49.483337,sj9PGLAlnmUAAAAAAA8Bvg,James,Dickson,1810
http://www.wikidata.org/entity/Q233277,282,49.4457,49.4457,4e1scVvZ-EAAAAAAAAAdZw,Katarina,Jagellonica,1526
http://www.wikidata.org/entity/Q6193517,13855,49.305042,49.305042,YB0QHyfj0hAAAAAAAABXYA,Fredrik,Strömfelt,1831
http://www.wikidata.org/entity/Q5581273,10507,49.2713,49.2713,WQknIBFpuuAAAAAAAAN9HA,Bengt,Bolméer,1785
http://www.wikidata.org/entity/Q5605565,4429,49.25316,49.25316,sj9PGLAlnmUAAAAAAB2-uw,Germund,Cederhielm,1755
http://www.wikidata.org/entity/Q24681314,17975,49.199944,49.199944,sj9PGLAlnmUAAAAAABKTOg,Johan,Fenger-Krog,1865
http://www.wikidata.org/entity/Q5568200,4968,49.18371,49.18371,TNQaWo324IAAAAAAAACgAQ,Joachim,Beck-Friis,1861
http://www.wikidata.org/entity/Q5809077,13345,49.10309,49.10309,j6S8rJvx9lAAAAAAAACxuA,Petrus,Hoffvenius,1630
http://www.wikidata.org/entity/Q5921477,20910,49.031227,49.031227,WQknIBFpuuAAAAAAAANfBA,Robert,von Kræmer,1791
http://www.wikidata.org/entity/Q5034131,3817,49.02831,49.02831,sj9PGLAlnmUAAAAAABk3Qw,Canutus,Hahn,1633
http://www.wikidata.org/entity/Q6013263,14175,48.92263,48.92263,4e1scVvZ-EAAAAAAAAAcWg,Preben,Nodermann,1867
http://www.wikidata.org/entity/Q322774,909,48.88178,48.88178,WQknIBFpuuAAAAAAAAN9OQ,Magnus,Björnstjerna,1779
http://www.wikidata.org/entity/Q5618809,25716,48.849716,48.849716,_P7S9YzQCjAAAAAAAAAocg,Robert,Delagardie,1823
http://www.wikidata.org/entity/Q5571517,5264,48.822372,48.822372,sj9PGLAlnmUAAAAAAB4v2A,Bergen Karl Fredrik Berndt,von,1838
http://www.wikidata.org/entity/Q5723363,9793,48.7873,48.7873,IQojCnw0WmAAAAAAAABTxQ,Anton,Fahnehjelm,1807
http://www.wikidata.org/entity/Q6215668,14621,48.72567,48.72567,NhqpvvI9tpAAAAAAAAAyYg,Gustaf,Trolle-Bonde,1773
http://www.wikidata.org/entity/Q6060104,17651,48.70827,48.70827,seuNpYu6DKAAAAAAAABjsQ,Adam,Raab,1801
http://www.wikidata.org/entity/Q5628179,25756,48.678192,48.678192,5TJc-sPXaKAAAAAAAAAniw,Pehr,von Ehrenheim,1823
http://www.wikidata.org/entity/Q4941872,2349,48.562767,48.562767,AUBJHcnv_WAAAAAAAAA4xA,Sigrid,Carlheim-Gyllensköld,1863
http://www.wikidata.org/entity/Q40313473,26261,48.50796,48.50796,rkIpfGqHXrAAAAAAAADYNA,P,Lilliehorn,1729
http://www.wikidata.org/entity/Q5983613,11099,48.49376,48.49376,I_2wtd5VefAAAAAAAABIfg,Daniel,Melanderhjelm,1726
