url,name,birth
https://www.vitterhetsakademien.se/ledamoter/ledamoter/konopczynsk-wladyslaw-alexander.html,"Konopczynsk, Wladyslaw Alexander",1880-11-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/walberg-frans-gustaf-emanuel.html,"Walberg, Frans Gustaf Emanuel",1873-12-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/heise-carl-georg.html,"Heise, Carl Georg",1890-06-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/marc-wogau-konrad.html,"Marc-Wogau, Konrad",1902-04-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/kalund-peter-erasmus-kristian.html,"Kålund, Peter Erasmus Kristian",1844-08-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/gustav-v-konung.html,"Gustav V, konung",1858-06-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/sjostrand-bengt-hakan-wilhelm.html,"Sjöstrand, Bengt Håkan Wilhelm",1909-08-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/holmberg-axel-olof.html,"Holmberg, Axel Olof",1893-10-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/linner-carl-sture.html,"Linnér, Carl Sture",1917-06-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/nyberg-henrik-samuel.html,"Nyberg, Henrik Samuel",1889-12-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/wedberg-anders-erik-otto.html,"Wedberg, Anders Erik Otto",1913-03-3
https://www.vitterhetsakademien.se/ledamoter/ledamoter/norberg-petrus.html,"Norberg, Petrus",1875-11-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/wahlstedt-axel-johan-gabriel.html,"Wahlstedt, Axel Johan Gabriel",1867-01-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/eriksson-gunnar.html,"Eriksson, Gunnar",1931-07-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/rydqvist-johan-erik.html,"Rydqvist, Johan Erik",1800-10-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/von-hammer-purgstall-josef-freiherr.html,von Hammer-Purgstall Josef Freiherr,1774-06-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/von-feilitzen-carl-olof-.html,von Feilitzen Carl Olof,1908-08-3
https://www.vitterhetsakademien.se/ledamoter/ledamoter/soderberg-johan.html,Söderberg Johan,1950-01-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/runeberg-johan-ludvig.html,"Runeberg, Johan Ludvig",1804-02-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/flinders-petrie-sir-william-matthew.html,"Flinders, Petrie Sir William Matthew",1853-06-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/von-wartburg-walther-.html,von Wartburg Walther,1888-05-1
