"mid","status","title","url"
"M111792471","ok","File:Detlof Heijkenskjöld äldre SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111792471"
"M112230925","ok","File:Emilia Fogelklou-Norlind SPA.png","https://commons.wikimedia.org/wiki/Special:EntityData/M112230925"
"M112231033","ok","File:Celie Brunius SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112231033"
"M112231052","ok","File:Celie Brunius SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112231052"
"M112231314","ok","File:Ellen Rydelius-Wägner SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112231314"
"M112231326","ok","File:Ellen Rydelius SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112231326"
"M112231889","ok","File:Frithiof Nordström SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112231889"
"M112231905","ok","File:Frithiof Nordström SPA5.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112231905"
"M112231938","ok","File:Frithiof Nordström SPA6.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112231938"
"M112232671","ok","File:Carl Kleman SPA4.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112232671"
"M112247814","ok","File:Axel Mörner SPA10.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112247814"
"M112247878","ok","File:Carl Göran Mörner SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112247878"
"M112247892","ok","File:Carl Göran Mörner SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112247892"
"M112247905","ok","File:Carl Göran Mörner SPA2 (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112247905"
"M112249446","ok","File:Axel Danielsson SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112249446"
"M112249450","ok","File:Axel Danielsson SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112249450"
"M112249460","ok","File:Axel Danielsson SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112249460"
"M112249487","ok","File:Elma Sundquist-Danielsson SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112249487"
"M112249490","ok","File:Elma Danielsson SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112249490"
"M112249495","ok","File:Elma Sundquist-Danielsson SPA4.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112249495"
"M112249501","ok","File:Elma Sundqvist-Danielsson SPA5.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112249501"
"M112253137","ok","File:Björn Hodell SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112253137"
