qid,label,birth,wd_id
Q4993034,Ludvig Manderström,1806,312
Q5544152,Abraham Ahlqvist,1794,1007
Q5561462,Karl Asplund,1890,640
Q5563656,Giovanni Anastasi,1780,1243
Q5578043,Gustaf Björlin,1845,361
Q5581978,Jan von Bonsdorff,1959,172
Q5588170,Herman Brulin,1875,381
Q5599519,Hans Henrik Brummer,1937,1029
Q5614055,Anders Cullhed,1951,43
Q5614055,Anders Cullhed,1951,43
Q5614944,Christopher Dahl,1758,429
Q5615864,Erik Dahmén,1916,713
Q5620980,Gustaf Fredrik Gyllenborg,1731,235
Q5626886,Emil Eckhoff,1846,512
Q5626886,Emil Eckhoff,1850,512
Q5628175,Fredrik von Ehrenheim,1753,264
Q5628451,Albert Ehrensvärd den äldre,1821,345
Q5729400,Arnold Feuereisen,1868,1349
Q5755011,Nils-Gustaf Gejvall,1911,714
Q5758633,Pär Göran Gierow,1930,729
Q5768492,John Granlund,1901,660
Q5768874,Anders Grape,1880,583
Q5769178,Sven Grauers,1891,623
Q5773319,Samuel Grubbe,1786,317
Q5781931,Johnny Hagberg,1952,1389
Q5786938,Sven Fromhold Hammarstrand,1821,494
Q5895452,Carl Thomas Järta,1802,462
Q5895473,Harry Järv,1921,736
Q5950279,Johan Hinric Lidén,1741,409
Q5969561,Einar Löfstedt d.y.,1880,559
Q5983309,Hans Meijer,1922,735
Q6005034,Helge Nelson,1882,571
Q6072211,Johan Ernst Rietz,1815,1034
Q6088541,Nils-Eric Sahlin,1954,120
Q6180052,Carl David Skogman,1786,310
Q6184976,Fredrik Sparre,1731,249
Q6187907,Johannes Steenstrup,1844,839
Q6200578,Otto Sylwan,1864,562
Q6203671,Hugo Tamm,1840,356
Q7799861,Théodore-Edme Mionnet,1770,785
Q11773727,Michael Silvius von Hohenhausen,1790,313
Q12333157,Reinhold Mejborg,1845,1312
Q15076223,Pierre Courcelle,1912,940
Q16649075,Lars Cedergren,1795,1010
Q22977459,Adam Lewenhaupt,1820,340
Q26275315,Bo Gyllensvärd,1916,702
Q26923581,Robert Merrillees,1938,211
Q26923581,Robert Merrillees,1938,211
Q27996921,Hans Niklas Teodor Hansson,1859,1095
Q27996948,Otto Bertil Ekberg,1886,1153
Q27996981,Ernst Gustaf Hellgren,1860,1098
Q27997019,Curt Fredrik Meinander,1790,326
Q27997034,Léon Marie Augustin Henri Ythier Dumuys,1853,1328
Q29341954,Isidor Löwenstern,,1275
Q29341961,Carl Olof von Feilitzen,,1207
Q29342011,Joachim Boessneck,1925,977
Q29342017,Karl Eric Knutsson,1932,698
Q29342046,Bo Vahlne,1943,140
Q47088,Carl David af Wirsén,1842,352
Q57106,Heinrich Schliemann,1822,823
Q57188,Ernst Cassirer,1874,579
Q57188,Ernst Cassirer,1874,579
Q72857,Alexander Conze,1831,834
Q84591,Manfred Mayrhofer,1926,193
Q90930,Oluf Gerhard Tychsen,1734,762
Q96257,Fritz Arnheim,1866,1321
Q124348,Walther von Wartburg,1888,878
Q157324,François Guizot,1787,786
Q167112,Bernhard Karlgren,1889,560
Q178409,Anders Hultén,1757,440
Q315989,"Thomas Babington Macaulay, 1:e baron Macaulay",1800,800
Q318337,Abel-François Villemain,1790,788
Q345108,Johnny Roosval,1879,543
Q470163,Birgit Rausing,1924,162
Q481299,Einar Gjerstad,1897,608
Q541473,Frédéric de Reiffenberg,1795,1254
Q574731,Konráð Gislason,1808,1283
Q692438,Johan David Åkerblad,1763,431
Q709081,Arthur Nock,1902,900
Q828242,Bertil Malmberg,1913,706
Q955847,Eric von Rosen,1879,1149
Q1401658,Jacob Axelsson Lindblom,1746,265
Q1528867,Friedrich Klingner,1894,929
Q1777178,Nils Ahnlund,1889,566
Q1794781,Knut Liestøl,1881,905
Q1806170,Lars Anton Anjou,1803,322
Q2291097,Hans Forssell,1843,486
Q2379989,Sören Halldén,1923,715
Q2476114,Herbert Tingsten,1896,602
Q2490551,Carl Fredrik Scheffer,1715,226
Q2518893,Carl Gustaf Malmström,1822,478
Q2624092,Eustachy Tyszkiewicz,1814,1257
Q2624092,Eustachy Tyszkiewicz,1814,1257
Q2653181,Adolf Noreen,1854,515
Q2960022,Charles Piot,1812,1276
Q3161180,James Rorimer,1905,1370
Q3374596,Theodor Wåhlin,1864,1081
Q3383609,Pierre-Étienne Du Ponceau,1760,783
Q3422087,Kristian Erslev,1852,858
Q3427304,Mårten Stenberger,1898,637
Q3431655,Reinhold Hausen,1850,857
Q3468288,Sture Linnér,1917,1028
Q4353507,Birger Steckzén,1892,1134
Q4444020,Anders Magnus Strinnholm,1786,456
Q4580085,Fredrik Paasche,1886,877
Q4753944,Anders Uppström,1806,1026
Q4830244,Axel Brusewitz,1881,570
Q4949712,Agnes Geijer,1898,1194
Q4962680,Tullia Linders,1925,747
Q4991015,Maria Ågren,1962,145
Q5388895,Erik Waller,1875,1138
Q5544161,Alfred Gustaf Ahlqvist,1838,488
Q5559515,Ture J:son Arne,1879,534
Q5570224,Ingmar Bengtsson,1920,690
Q5572576,Carl Johan Bergman,1817,346
Q5573103,Erik Bergstedt,1760,430
Q5578784,Anton Blanck,1881,565
Q5587291,Carl Bromander,1865,1103
Q5595434,Lauritz Baltzer,1845,1091
Q5597618,Staffan Björck,1915,670
Q5615729,Karl-Hampus Dahlstedt,1917,710
Q5629580,Claes Ekeblad den yngre,1708,225
Q5717823,Theodor Erlandsson,1869,1139
Q5805326,Bengt Hildebrand,1893,657
Q5807847,Carl-Herman Hjortsjö,1914,686
Q5821149,Torvald T:son Höjer,1906,633
Q5828260,Olov Janse,1892,939
Q5862575,Aage Friis,1870,875
Q5900932,Sten Karling,1906,661
Q5916755,Ernst Kock,1864,561
Q5951696,Johan Gustaf Liljegren,1791,449
Q5957723,Svante Lindqvist,1948,91
Q5971969,Einar Magnusson,1891,1163
Q6039205,Johannes Pedersen,1883,874
Q6077749,Axel Romdahl,1880,584
Q6140315,Bengt R. Jonsson,1930,1225
Q6170353,Herman Schück,1925,123
Q6175951,Göran Mascoll Silfverstolpe,1918,163
Q6179098,Wilhelm Sjöstrand,1909,669
Q6201341,Teofron Säve,1842,527
Q6201348,Torgny Säve-Söderbergh,1914,668
Q6206800,Pehr Tham,1737,275
Q6214857,Oscar Trapp,1847,1094
Q6218073,Ragnar Törnebladh,1833,495
Q6231238,Sigurd Wallin,1882,603
Q6231387,Johan Wallman,1792,453
Q6254397,Alf Åberg,1916,167
Q7264593,Pär-Erik Back,1920,731
Q15965241,Carl Gustaf Björkander,1884,1142
Q16616185,Märta Åsdahl Holmberg,1919,717
Q16946386,Ingrid Olsson,1927,160
Q18821605,Gudmund Björck,1905,624
Q19546304,Jonas Palm,1925,693
Q20857223,Carl Johan Becker,1915,984
Q26265356,Johan Forsander,1795,1024
Q27997007,Ragnar Kempe,1901,394
Q27997045,Axel Mante,1896,1201
Q27997046,Johan Fredrik Lundh,1809,1016
Q29341977,Gösta Theodor Ehrnberg,1895,1146
Q29342009,Otto Oberholzer,1919,979
Q52924,Oscar II,1829,295
Q53674,Paul Riant,1836,1289
Q57656,Erwin Panofsky,1892,941
Q72289,Johann Gustav Gottlieb Büsching,1783,1237
Q72780,Karl von Amira,1848,828
Q77184,Leopold von Ranke,1795,801
Q77184,Leopold von Ranke,1795,801
Q90241,Reinhold Koser,1852,838
Q310958,Rasmus Rask,1787,776
Q329875,Abraham Konstantin Mouradgea d'Ohsson,1779,279
Q361261,Prins Bertil,1912,304
Q365824,Eli Heckscher,1879,590
Q518896,Carl Gustaf Estlander,1834,829
Q561089,Ernst Robert Curtius,1886,907
Q571137,Jan Filip,1900,966
Q678483,Ekrem Akurgal,1911,965
Q740094,Sebastiano Ciampi,1769,1251
Q921268,Lars Gyllensten,1921,396
Q952657,Fredrik Lilljekvist,1863,1076
Q1278915,Albert Sorel,1842,830
Q1364827,Finnur Magnússon,1781,1235
Q1369073,Sophus Bugge,1833,491
Q1372544,Gabriel Gustafson,1853,516
Q1621327,Hjalmar Sundén,1908,708
Q1702846,Sigurd Curman,1879,538
Q1777283,Ida Blom,1931,171
Q1926407,Henrik Schück,1855,502
Q2060435,Paul Johansen,1901,935
Q2063496,Paul Åström,1929,707
Q2106584,Peter van Suchtelen,1751,769
Q2331615,Aarne Michaёl Tallgren,1885,868
Q2331615,Aarne Michaёl Tallgren,1885,868
Q2469402,Sigurður Nordal,1886,894
Q3306563,Alan Wace,1879,872
Q3311134,Michel Zink,1945,1416
Q3353704,George Stephens,1813,805
Q3426742,Christian Herbst,1818,822
Q3426905,Hjalmar Stolpe,1841,507
Q4353489,Karl Gustaf Westman,1876,541
Q4354443,Carl Fredrik Fredenheim,1748,262
Q4355601,Oscar Björnstjerna,1819,334
Q4358870,Nils Philip Gyldenstolpe,1734,258
Q5388510,Erik Brate,1857,518
Q5388837,Erik Sjöqvist,1903,680
Q5546685,Johan Alin,1879,1116
Q5557673,Herman Antell,1847,1302
Q5564986,Francis Balodis,1882,1350
Q5599381,Robert Mauritz Bowallius,1817,470
Q5605165,Gustaf Cavalli,1849,1074
Q5606483,Gregers Fougner Lundh,1786,1008
Q5630693,Otto Kristian Ekman,1791,1014
Q5722399,Knud Fabricius,1875,912
Q5746257,Tore Frängsmyr,1938,56
Q5777567,Bo Gustafsson,1931,745
Q5778509,Karl Alfred Gustawsson,1897,666
Q5796348,Anders Hedner,1801,1023
Q5818605,Åke Hyenstrand,1939,753
Q5914144,Carl Arvid Klingspor,1829,1042
Q5956255,Torgny Lindgren,1905,1169
Q5969481,Nils Isak Löfgren,1797,1011
Q6004738,Jacob Fredrik Neikter,1744,414
Q6016392,Erik Noreen,1890,588
Q6071603,Anton Ridderstad,1848,1073
Q6179597,Peter Skautrup,1896,961
Q6179862,Eric Skjöldebrand,1722,425
Q6216651,Sven Tunberg,1882,544
Q6230587,Marcus Wallenberg,1774,278
Q6231532,Karl-August Wallroth,1860,1105
Q6238509,Theodor Westrin,1850,511
Q6247062,Ewert Wrangel,1863,531
Q6256500,Samuel Ödmann,1750,447
Q8044070,Xia Nai,1910,981
Q15965242,Fritz Brusewitz,1856,1112
Q16467584,Sigfrid Svensson,1901,641
Q16650021,Johan Nordlander,1853,1087
Q16663824,Maurice Gravier,1912,974
Q16945191,Torsten Dahlberg,1906,998
Q18756521,Sven A. Nilsson,1914,682
Q19976294,Gunnar Blomgren,1866,1093
Q20051031,Michael Jones,1944,182
Q20623113,Oskar Bandle,1926,978
Q24819146,Olof Simon Rydberg,1822,493
Q25184975,John Allan,1884,1362
Q27996933,Krister Hanell,1904,655
Q27996966,Karl Sanfrid Viktor Welin,1855,1104
Q27996971,Nils August Flodén,1889,1229
Q27996983,Carl Fredrik Lindberg,1830,1047
Q27997015,Thor Hjalmar Cullberg,1831,1037
Q27997031,Samuel Sernsköld,1713,405
Q27997053,Gunnar Ekström,1893,1164
Q29318338,Mats Thelander,1945,137
Q29341940,Ernst Murbach,1915,1382
Q29341943,Carl Robert Robertson,,1355
Q29341965,Jan Liedgren,1909,1196
Q29341981,Klas Herman Killander,1878,1140
Q29341993,Nils Pettersson,1849,1085
Q29341999,Johan Hambræus,1829,1053
Q29342001,Sigge Bogislaus Ulfsparre,1828,1051
Q29342006,Moses Söderström,1774,1018
Q29342006,Moses Söderström,1774,1018
Q29342023,Carl Evert Bernhard Taube,1834,503
Q29342024,Georg Frans Tihleman,1770,424
Q29342034,Sten Abraham Piper,1738,240
Q45662,Klemens von Metternich,1773,787
Q65600,Heinrich von Sybel,1817,816
Q68383,Georg Heinrich Pertz,1795,797
Q85162,Albin Lesky,1896,957
Q92374,Dietrich Schäfer,1845,841
Q124073,Jean Charles Léonard de Sismondi,1773,779
Q153232,Jean Le Rond d'Alembert,1717,247
Q283088,André Chastel,1912,982
Q320931,Christian Jürgensen Thomsen,1788,799
Q327758,Prins Eugen av Sverige,1865,300
Q360084,Jurij Lotman,1922,987
Q373930,Carl Christian Rafn,1795,1234
Q427805,Alexandru Rosetti,1895,948
Q444002,Frans G. Bengtsson,1894,1157
Q719983,Johan Ihre,1707,231
Q827842,John Bryan Ward-Perkins,1912,1363
Q854253,Ferenc Pulszky,1814,824
Q933386,Tor Andræ,1885,572
Q977261,Peter Frederik Suhm,1728,758
Q1037052,Bernhard Salin,1861,517
Q1094914,Luigi Pigorini,1842,825
Q1369099,P.V. Glob,1911,952
Q1373357,G. M. Trevelyan,1876,911
Q1384083,Richard Dybeck,1811,1017
Q1400377,Peter Erasmus Müller,1776,777
Q1731179,Karl Förstemann,1804,1255
Q2001721,Claes Annerstedt,1839,490
Q2064881,Erik Fahlcrantz,1790,328
Q2190143,Axel Kock,1851,521
Q2755384,Joseph Déchelette,1862,850
Q2834329,Aleksej Bobrinskij,1852,1318
Q3087081,Frederic Ward Putnam,1839,1325
Q3090235,Frédéric Troyon,1815,1273
Q3116666,Grigory Bongard-Levin,1933,993
Q3184950,Joseph Florimond Loubat,1831,844
Q3200657,Kustaa Vilkuna,1902,964
Q3356803,Didrik Arup Seip,1884,893
Q3431605,Nils Cleve,1905,955
Q3566058,Karl Vilhelm Zetterstéen,1866,551
Q3767414,Giovanni Gozzadini,1810,810
Q3856252,Michael Roberts,1908,918
Q3903456,Pierre Justin Sabatier,1792,1277
Q4349660,Bernhard von Beskow,1796,289
Q4457034,Gustaf Wilhelm af Tibell,1772,280
Q4542909,Alf Henrikson,1905,1193
Q4569350,Anders Piltz,1943,110
Q4992736,Carl Wilhelm Böttiger,1807,479
Q5495166,Fred Forsberg,1862,1100
Q5548002,Karl Tigerstedt,1822,820
Q5558566,Holger Arbman,1904,638
Q5562596,Pehr Fabian Aurivillius,1756,437
Q5579332,Isac Reinhold Blom,1762,274
Q5784271,Mauritz Hallberg,1851,1343
Q5856223,Victor Ewald,1869,1111
Q5886593,Johan Johansson,1840,1075
Q5894398,Hugo Jungner,1881,1133
Q5931510,Fredrik Lagerroth,1885,622
Q5946836,Torsten Leon-Nilson,1920,1198
Q5951400,Joakim Vilhelm Liliestråle,1721,233
Q5954083,Örjan Lindberger,1912,709
Q5957946,Sten Lindroth,1914,651
Q5973843,Mats P. Malmer,1921,712
Q6027049,Henry Olsson,1896,597
Q6044827,Theodor Petersen,1875,1354
Q6051457,Magnus von Platen,1920,730
Q6064056,Nils Ludvig Rasmusson,1904,653
Q6079303,Jerker Rosén,1909,671
Q6080164,Nils von Rosenstein,1752,245
Q6083620,Nils Runeby,1931,746
Q6168199,Carl Johan Schlyter,1795,460
Q6178291,Pehr Sjöbring,1776,454
Q6178671,Wilhelm Sjögren,1866,364
Q6194197,Harry Ståhl,1905,685
Q6197780,Wilhelm Erik Svedelius,1816,474
Q6209021,Bengt Thordeman,1893,600
Q6210214,Pehr Thyselius,1769,443
Q6231175,Josef Wallin,1786,471
Q6234347,Jörgen Weibull,1924,739
Q6235202,Erik Wellander,1884,581
Q6235504,Henry Weman,1897,1175
Q6542416,Włodzimierz Antoniewicz,1893,1361
Q11886313,Paavo Ravila,1902,945
Q12315659,Harald Langberg,1919,1376
Q12332125,Poul Bredo Grandjean,1880,1367
Q12372171,Peeter Arumaa,1900,634
Q16159187,Artur Attman,1910,699
Q16633281,Håkan Möller,1959,1413
Q16649586,Nils Axel Kullberg,1824,492
Q16649953,Ernst Nachmanson,1877,569
Q16650428,Victor Svanberg,1896,625
Q21014560,Folke Högberg,1884,1179
Q21264349,Marianne Gullberg,1964,1402
Q26333639,Harald Hagendahl,1889,587
Q27996935,Elisabeth Rynning,1955,1409
Q27997000,Erik Karl Fabian Bæhrendtz,1885,1152
Q27997021,Signhild Engkvist,1909,395
Q29341959,Lennart Diener,,1217
Q29341968,Andreas Emil Oldeberg,1892,1188
Q29341974,Gunnar Hellström,1887,1165
Q29341983,Valentin Gunnar Johannes Håkansson,1886,1136
Q6701,Jacob Grimm,1785,789
Q62565,Ewald Friedrich von Hertzberg,1725,757
Q65248,Andreas Peter Bernstorff,1735,761
Q76432,Rudolf Virchow,1821,815
Q77626,Konrad von Maurer,1823,812
Q98713,Albert Voß,1837,1315
Q103102,Otto Tischler,1843,1306
Q117763,Giuseppe Gasparo Mezzofanti,1774,793
Q151911,Jöns Jacob Berzelius,1779,284
Q213871,Frederik Münter,1761,768
Q215339,Johan Ludvig Runeberg,1804,807
Q310396,Kristján Eldjárn,1916,962
Q313581,Nicolae Iorga,1871,1347
Q325547,Fredrik Böök,1883,596
Q347374,Gustaf Adolf,1906,302
Q380738,Hjalmar Frisk,1900,599
Q434346,Victor Cousin,1792,1269
Q447581,Marcel Aubert,1884,910
Q521592,Kristoffer Nyrop,1858,1332
Q549109,Artur Hazelius,1833,504
Q680045,Manuel Francisco de Barros e Sousa Santarém,1791,1256
Q700275,Armand de Quatrefages de Bréau,1810,809
Q716743,Jean-Pierre Abel-Rémusat,1788,1240
Q717133,Arvid August Afzelius,1785,463
Q940383,H.S. Nyberg,1889,575
Q1039042,Carl Johan Tornberg,1807,464
Q1335233,William Marsden,1754,775
Q1388885,Pontus Fahlbeck,1850,525
Q1393566,Alexander Schnütgen,1843,1323
Q1404688,Feng Zhi,1905,976
Q1447568,Joseph Bosworth,1788,1265
Q1795893,Theodor Grienberger,1855,1341
Q1853467,Christian C.A. Lange,1810,1022
Q2073153,Johan Adam Tingstadius,1748,268
Q2155974,Roar Hauglid,1910,956
Q2172372,Rudolf Baier,1818,1314
Q2472294,Emil Viktor Langlet,1824,1061
Q2666161,Georg de Laval,1883,1168
Q2718795,Marc-Antoine Jullien fils,1775,1249
Q3388174,Pietro Romanelli,1889,968
Q3393699,José Pedro Machado,1914,960
Q3430369,Harold Walter Bailey,1899,898
Q4223295,Gustaf Edvard Klemming,1823,475
Q4241627,Abraham Peter Cronholm,1809,477
Q4939762,Gerda Boëthius,1890,1126
Q4992071,Curt Weibull,1886,612
Q5546274,Nils Alexanderson,1875,379
Q5554002,Aron Andersson,1919,696
Q5556987,Josef Anér,1889,387
Q5558558,Ernst Arbman,1891,646
Q5585945,Lennart Breitholtz,1909,705
Q5596035,Ludovic Beauchet,1855,840
Q5596837,Lars Berglund,1964,1414
Q5610121,Bengt Cnattingius,1899,1209
Q5622601,Anders Diös,1891,1182
Q5754636,Herman Geijer,1871,568
Q5788304,Einar Hansen,1902,1191
Q5816417,Olof Hult,1868,1137
Q5886069,Gotthard Johansson,1891,1158
Q5930757,Carl Lagerberg,1859,1077
Q5967999,Vilhelm Lundström,1869,547
Q6001491,Adolf Göran Mörner,1773,281
Q6015747,Carl Axel Nordman,1892,904
Q6016170,Johan Nordström,1891,586
Q6060299,Gustaf Reinhold Rabe,1813,472
Q6064520,Gad Rausing,1922,398
Q6171709,Albrekt Julius Segerstedt,1763,1071
Q6187863,Sverre Steen,1898,889
Q6191600,Jan Storm,1903,1218
Q6193475,Dag Strömbäck,1900,592
Q6212505,Yrjö Henrik Toivonen,1890,913
Q6229011,Axel Wahlstedt,1867,1109
Q6243550,John West Wilson,1816,1067
Q7360707,Rolf Danielsen,1922,989
Q8076062,Zófimo Consiglieri Pedroso,1851,1304
Q11857826,Emil Öhmann,1894,932
Q12313688,Georg Galster,1889,1356
Q12341041,Vilhelm Lorenzen,1877,1360
Q16633253,Mats Malm,1964,1391
Q18508562,Olof Sörling,1852,1072
Q18674968,Henrik Birnbaum,1925,1216
Q19946464,Bo Eric Ingelmark,1913,1170
Q24242934,Otto Haintz,1890,1366
Q27093894,Erik Granlund,1892,1128
Q27996924,Gustaf Holmér,1921,727
Q27996925,Göran Edvard Henning Posse,1868,1147
Q27996943,Josef August Samuel Lagergren,1820,1055
Q27997017,Gabriele Laureani,1788,1262
Q27997030,Johan Emil Hagdahl,1836,1062
Q29341933,Gunlög Fur,1957,1401
Q29341935,Ann Catherine Bonnier,1942,1396
Q29341946,Giuseppe Angelo Colini,1857,1333
Q29341950,Armand de Flaux,1819,1286
Q29341970,Karl Elias Hermelin,1895,1184
Q29341972,Gustaf Wilhelm Israel Jonzon,1885,1178
Q29341979,Otto Bernt Santesson,1874,1144
Q29341979,Otto Bernt Santesson,1874,1144
Q29342004,Johan Wilhelm Schürer von Waldheim,1843,1046
Q29342015,Per Gustaf Hamberg,1913,704
Q29342021,Carl David Hannerberg,1900,649
Q52555075,Albrekt Segerstedt,1844,1071
Q24139,Arnold Hermann Ludwig Heeren,1760,771
Q29297,Carl Ritter,1779,791
Q57538,Johan I av Sachsen,1801,400
Q66921,Eduard Gerhard,1795,1272
Q66936,Georg Waitz,1813,817
Q73496,Friedrich Karl Hermann Kruse,1790,1238
Q74395,Johanna Mestorf,1828,837
Q74573,Otto Regenbogen,1891,916
Q76894,Eduard Meyer,1855,845
Q101915,Georg Christian Friedrich Lisch,1801,802
Q108836,Carl Russwurm,1812,1297
Q109288,Carl Georg Heise,1890,915
Q110312,Heinz Bechert,1932,986
Q119529,Rudolf Hotzenköcherle,1903,954
Q123644,Claus von Carnap-Bornheim,1957,1411
Q231349,Mary Douglas,1921,994
Q350183,Georg Henrik von Wright,1916,947
Q374572,François-Joachim de Pierre de Bernis,1715,755
Q481346,Axel W. Persson,1888,546
Q530528,Ragnhild Hatton,1913,1368
Q543519,Marcel Bataillon,1895,942
Q563439,Mathieu Auguste Geffroy,1820,819
Q731379,Clas Theodor Odhner,1836,481
Q962271,Jens Jacob Worsaae,1821,811
Q984003,Jón Helgason,1899,928
Q1064466,Oscar Almgren,1869,523
Q1161823,Daniel Mornet,1878,899
Q1394882,Paolo Orsi,1859,848
Q1582059,Hans Robert Hahnloser,1899,958
Q1583039,Hans Wentzel,1913,1364
Q1677505,Jacob Gråberg,1776,1000
Q2063108,Pascual de Gayangos y Arce,1809,1281
Q2377709,Martin Lamm,1880,558
Q2512349,Jānis Endzelīns,1873,873
Q2782990,Alfred Hackman,1864,855
Q3351532,Olof Arrhenius,1895,1132
Q3427297,Karl-Gustaf Hildebrand,1911,673
Q3431561,Ella Kivikoski,1901,950
Q4575881,Nils Gabriel Djurklou,1829,482
Q4978472,Karin Sidén,1961,1410
Q4978472,Karin Sidén,1961,1410
Q5571427,Wilhelm Berg,1839,1057
Q5580503,Bertil Boëthius,1885,548
Q5587313,Bertil Broomé,1913,724
Q5589139,Johannes Brøndum-Nielsen,1881,901
Q5591788,Fabian Julius Bæhrendtz,1849,1078
Q5603107,Gottfrid Carlsson,1887,576
Q5759595,Hans Gillingstam,1925,156
Q5776975,Carl Gunne,1893,1181
Q5795515,Johan Hedenborg,1787,1025
Q5796610,Peter Hedström,1955,1397
Q5803215,Axel Herrlin,1870,554
Q5804085,Carl Arvid Hessler,1907,684
Q5808735,Herman Hofberg,1823,1040
Q5810984,Olle Holmberg,1893,628
Q5825684,Jalmari Jaakkola,1885,888
Q5889112,Pehr Johnsson,1873,1123
Q5912301,Knut Kjellmark,1866,1083
Q5914389,Mathias Klintberg,1847,1080
Q5933130,Sven Lampa,1870,1096
Q5937577,Hans Emil Larsson,1855,1084
Q5950263,Evald Lidén,1862,550
Q6022280,Wilhelm Odelberg,1918,1222
Q6051688,Hilding Pleijel,1893,626
Q6088424,Jöran Sahlgren,1884,595
Q6088638,Karl Esaias Sahlström,1884,1118
Q6198020,Josef Svennung,1895,604
Q6218239,John Adamson,1787,1245
Q6254893,Waldemar Åhlén,1894,1176
Q7025175,Nicholas Carlisle,1771,1244
Q10307166,Joaquim Filipe Nery da Encarnação Delgado,1835,1303
Q12331137,Peder Goth Thorsen,1811,1291
Q12332212,Poul Nørlund,1888,882
Q12338505,Søren Egerod,1923,972
Q13561169,Velta Rūķe-Draviņa,1917,733
Q15122874,Einar Ólafur Sveinsson,1899,959
Q16160645,Olof Rudolf Bellander,1794,1038
Q16650013,Johan Albert Nordberg,1871,1131
Q17909236,Boo von Malmborg,1905,1215
Q19663105,Pompeo Castelfranco,1843,1307
Q20948882,Börje Blomé,1921,1226
Q20961969,Paul Cazalis de Fondouce,1835,1296
Q21127054,Pedro Sabau y Larroya,1808,1285
Q21477556,Antonio Delgado y Hernández,1805,1280
Q21612869,Johan Alfred Wiström,1830,1045
Q27996909,Karl Johan Laurentius Torin,1826,1043
Q27996939,Lisa Kristina Stenberger,1904,1211
Q27996941,Axel Johan Hallin,1877,1107
Q27996979,Sven Emanuel Dedering,1897,636
Q27997014,Wilhelm Ridderstad,1843,1069
Q27997039,Josef Natanael Hedin,1880,1172
Q27997044,Frithiof Rundgren,1921,675
Q27997050,Karin Petherick,1929,1383
Q29341936,Peter Gillgren,1958,1395
Q29341938,Mats Arne Roslund,1957,1394
Q29341938,Mats Arne Roslund,1957,1394
Q29341942,Albert Maria Ammann,1892,1369
Q29341962,Aleksandrs Platbarzdis,1899,1200
Q29341963,Per Jerker Asplund,1901,1199
Q29341984,Oskar Leonard Nilsson,1887,1124
Q29341986,Johan Axel Ludvig Quist,1862,1120
Q39383121,Richard Wilhelm Georg Vasmer,1888,1351
Q6714,Wilhelm Grimm,1786,798
Q63182,Christian Gottlob Heyne,1729,764
Q70855,Friedrich von Raumer,1781,1248
Q74203,Percy Ernst Schramm,1894,927
Q77420,Max Vasmer,1886,606
Q89546,Joseph von Hammer-Purgstall,1774,1239
Q92465,Hans Seger,1864,1327
Q107815,Bernhard Bischoff,1906,983
Q121409,Frédéric Soret,1795,1278
Q152308,Drottning Silvia,1943,1386
Q156390,Kronprinsessan Victoria,1977,1387
Q168896,Władysław Konopczyński,1880,864
Q220130,William Flinders Petrie,1853,860
Q254524,Józef Ignacy Kraszewski,1812,1298
Q301586,Aarno Maliniemi,1892,933
Q451416,Giovanni Capellini,1833,1294
Q502983,Michael Rostovtzeff,1870,865
Q535764,Isak Collijn,1875,535
Q571710,Francis Bull,1887,896
Q678541,Bruno Migliorini,1896,937
Q879688,Björn M. Ólsen,1850,1339
Q1345868,Oluf Rygh,1833,489
Q1378509,Haakon Shetelig,1877,881
Q1387221,Henry Christy,1810,1288
Q1389266,Alexandros Rizos Rangavis,1809,1282
Q1397114,Rudolf Keyser,1803,1021
Q1491858,Ted Strehlow,1908,1377
Q1506289,Georg von Munthe af Morgenstierne,1892,869
Q1750483,John Yonge Akerman,1806,1279
Q1776740,Alexander Bugge,1870,1342
Q1803048,Henning Frederik Feilberg,1831,1336
Q1899007,Mario Roques,1875,925
Q1966182,Hans Peter L'Orange,1903,936
Q2005797,William A. Craigie,1867,920
Q2021110,Olof August Danielsson,1852,513
Q2158388,Robert Nisbet Bain,1854,1334
Q2600492,Yngve Brilioth,1891,598
Q2960185,Charles Samaran,1879,919
Q3083617,François-Philippe Gourdin,1739,1231
Q3267935,Magnus Olsen,1878,859
Q3358346,Troels Frederik Troels-Lund,1840,852
Q3430368,Ludvig Müller,1809,813
Q3659681,"Carlo Ottavio, Count Castiglione",1784,1252
Q4247211,Ernst Kunik,1814,1287
Q4251388,Heinrich Karl Ernst Köhler,1765,778
Q4251388,Heinrich Karl Ernst Köhler,1765,778
Q4569302,Elias Bredsdorff,1912,1379
Q4821579,Augustus Wollaston Franks,1826,814
Q4992359,Sophus Müller,1846,836
Q5144685,Colette Caillat,1921,990
Q5557725,Eric Anthoni,1893,938
Q5588425,Sture Brunnsåker,1925,718
Q5589660,Søren Bruun Bugge,1798,1005
Q5596255,Agne Beijer,1888,616
Q5712358,Olle Engkvist,1889,1183
Q5734921,Stig Fogelmarck,1916,719
Q5743237,Algot Friberg,1850,1063
Q5793312,Peter Christian Hauberg,1844,1316
Q5795335,Folke Hedblom,1908,1210
Q5807946,Erland Hjärne,1887,607
Q5810757,Axel Emanuel Holmberg,1817,1012
Q5810930,John Holmberg,1886,611
Q5828652,E. Alfred Jansson,1878,1166
Q5992195,Arthur Montgomery,1889,642
Q6014469,Arthur Nordén,1891,1143
Q6168262,Kurt von Schmalensee,1896,1186
Q6187568,Ludvig Stavenow,1864,514
Q6194026,Carl Gustaf Styffe,1817,473
