"mid","status","title","url"
"M112237902","ok","File:August Sundblad SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112237902"
"M112237994","ok","File:August Sundblad SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112237994"
"M112238013","ok","File:August Sundblad SPA4.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112238013"
"M112238315","ok","File:August Sundblad SPA10.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112238315"
"M112238336","ok","File:August Sundblad SPA12.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112238336"
"M112238350","ok","File:August Sundblad SPA14.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112238350"
"M112238437","ok","File:August Sundblad SPA20.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112238437"
"M112263516","ok","File:Anton Hahn SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112263516"
"M112263680","ok","File:Anton Hahn SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112263680"
"M112263723","ok","File:Anton Hahn SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112263723"
"M112263774","ok","File:Anton Hahn SPA12.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112263774"
"M112301102","ok","File:Ava Lagercrantz SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112301102"
"M112304397","ok","File:August Teodor Tretow SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112304397"
"M112304439","ok","File:August Tretow SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112304439"
"M112304463","ok","File:August Tretow SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112304463"
"M112322195","ok","File:Anna Ehrenborg-Carlqvist SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112322195"
"M112322413","ok","File:August Michael Posse SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112322413"
"M112380714","ok","File:Anna Sandahl SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112380714"
"M112381119","ok","File:Astri Douglas SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112381119"
"M112381121","ok","File:Astri Douglas SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112381121"
"M112382550","ok","File:Archibald Douglas SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112382550"
"M112382559","ok","File:Archibald Douglas SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112382559"
"M112382580","ok","File:Archibald Douglas SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112382580"
"M112387255","ok","File:Anna Preinitz SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112387255"
"M112387355","ok","File:Arvid Blomquist SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112387355"
"M112387392","ok","File:Arvid Blomquist SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112387392"
"M112387452","ok","File:Arvid Blomquist SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112387452"
"M112390804","ok","File:Astrid von Platen SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112390804"
"M112390819","ok","File:Astrid Rudebeck SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112390819"
"M112390824","ok","File:Astrid Rudebeck SPA2 (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112390824"
