wd,,score,max,spaid,FirstName,LastName,BirthYear
http://www.wikidata.org/entity/Q5039799,1249,41.314827,41.314827,4e1scVvZ-EAAAAAAAAAYPQ,Carl,Westerlund,1831
http://www.wikidata.org/entity/Q4970435,1074,41.050995,41.050995,TR3yO_GV8eAAAAAAAAAHNw,"von Numers, Hedvig",Ehrenstam,1830
http://www.wikidata.org/entity/Q2824703,1799,40.965496,40.965496,sj9PGLAlnmUAAAAAABk34Q,Adolf,Hamilton,1747
http://www.wikidata.org/entity/Q5579242,2355,40.864807,40.864807,TNQaWo324IAAAAAAAAEBZQ,Magnus,von Block,1669
http://www.wikidata.org/entity/Q5997574,5584,40.775314,40.775314,5TJc-sPXaKAAAAAAAAAnXA,J,Murberg,1734
http://www.wikidata.org/entity/Q5577295,2340,40.749863,40.749863,WQknIBFpuuAAAAAAAAN9Qg,Anders,Bjursten,1825
http://www.wikidata.org/entity/Q6178273,6497,40.538063,40.538063,sj9PGLAlnmUAAAAAAB2WsQ,Nils,Sjöborg,1767
http://www.wikidata.org/entity/Q1554766,302,39.87736,39.87736,sj9PGLAlnmUAAAAAABUKWw,Gunnar,Silfverstolpe,1893
http://www.wikidata.org/entity/Q5952069,5484,39.697567,39.697567,WQknIBFpuuAAAAAAAAN7nQ,Gustaf,Peringer-Lillieblad,1651
http://www.wikidata.org/entity/Q6215631,6695,39.678818,39.678818,4e1scVvZ-EAAAAAAAAAYWw,Henrik,af-Trolle,1829
http://www.wikidata.org/entity/Q5904549,5369,39.63443,39.63443,WQknIBFpuuAAAAAAAANf0g,Niklas,Keder,1659
http://www.wikidata.org/entity/Q633094,826,39.586246,39.586246,sj9PGLAlnmUAAAAAABhAxA,Johan,Bureus,1568
http://www.wikidata.org/entity/Q4992644,1214,39.279095,39.279095,WQknIBFpuuAAAAAAAAN9FQ,Carl,Brunius,1792
http://www.wikidata.org/entity/Q13422290,7319,39.179405,39.179405,sj9PGLAlnmUAAAAAABO2ug,Sophia,Bolander,1807
http://www.wikidata.org/entity/Q4411177,2080,39.118343,39.118343,sj9PGLAlnmUAAAAAABLHMQ,Jakob,Sprengtporten,1721
http://www.wikidata.org/entity/Q5619757,2568,39.094173,39.094173,sj9PGLAlnmUAAAAAAB2--A,Carl,Deleen,1767
http://www.wikidata.org/entity/Q38240335,5069,38.908546,38.908546,WQknIBFpuuAAAAAAAANiZw,Eric,von Knorring,1822
http://www.wikidata.org/entity/Q6205468,6640,38.6658,38.6658,sj9PGLAlnmUAAAAAACYpWA,Esaias,Tegnér,1843
http://www.wikidata.org/entity/Q6073623,5804,38.520546,38.520546,9Y5iReTPHdAAAAAAAABD5Q,A F,Ristell,1744
http://www.wikidata.org/entity/Q6248319,7006,38.452976,38.452976,ciLMGSqrYjAAAAAAAAAGlg,Oskar,Wågman,1849
http://www.wikidata.org/entity/Q5810082,4751,38.323643,38.323643,sj9PGLAlnmUAAAAAABe29w,Carl,Hollgren,1846
http://www.wikidata.org/entity/Q31685249,5024,38.31717,38.31717,sj9PGLAlnmUAAAAAABLn6Q,Pehr,Hjelm,1794
http://www.wikidata.org/entity/Q1354012,222,38.30625,38.30625,sj9PGLAlnmUAAAAAAB5xsg,Erik,Stagnelius,1793
http://www.wikidata.org/entity/Q3302927,1869,38.058243,38.058243,sj9PGLAlnmUAAAAAAB2R6A,Vilhelm,Palmblad,1788
http://www.wikidata.org/entity/Q16595193,6976,37.893875,37.893875,j6S8rJvx9lAAAAAAAABfMw,Johanna,von Hofsten,1832
http://www.wikidata.org/entity/Q4239802,2025,37.28671,37.28671,WQknIBFpuuAAAAAAAANebQ,Ernst,von Krassow,1660
http://www.wikidata.org/entity/Q87485948,2718,37.24543,37.24543,lzSYNK3ifoMAAAAAAAbcMg,af Johan,Bjerkén,1725
http://www.wikidata.org/entity/Q6082497,6337,37.224216,37.224216,sj9PGLAlnmUAAAAAAB4oQg,Petrus,Rudbeckius,1625
http://www.wikidata.org/entity/Q1342359,202,37.124,37.124,sj9PGLAlnmUAAAAAAB49dA,Johan Vilhelm,Zetterstedt,1785
http://www.wikidata.org/entity/Q4988588,1169,37.107704,37.107704,1ha4xkDj-uAAAAAAAABeWw,Johanna,Granberg,1825
http://www.wikidata.org/entity/Q52944,3441,36.853718,36.853718,VaM-WW8ntnAAAAAAAAABQw,Johan III,KUNG,1537
http://www.wikidata.org/entity/Q1613210,327,36.82338,36.82338,vfWYdYT6EoAAAAAAAAA-aQ,Johan,Oxenstierna,1750
http://www.wikidata.org/entity/Q267959,464,36.759296,36.759296,wbbNj8LLWMAAAAAAAABzZQ,Karl,Nicander,1799
http://www.wikidata.org/entity/Q4962825,1024,36.695763,36.695763,rkIpfGqHXrAAAAAAAABYHQ,Wilma,Lindhé-Hammarsten,1838
http://www.wikidata.org/entity/Q5758618,4547,36.54233,36.54233,1ha4xkDj-uAAAAAAAABebQ,Karl-Ragnar,Gierow,1904
http://www.wikidata.org/entity/Q19976157,3872,36.535355,36.535355,nGoaRo7IPMAAAAAAAAABFQ,Ellen,Idström-Holzhausen,1857
http://www.wikidata.org/entity/Q57351,3466,36.499645,36.499645,sj9PGLAlnmUAAAAAAB2VAw,Ernst,Arndt,1769
http://www.wikidata.org/entity/Q6079517,5829,36.462975,36.462975,9Y5iReTPHdAAAAAAAABNuA,Carl-Martin,Rosenberg,1843
http://www.wikidata.org/entity/Q4992736,1219,36.43853,36.43853,sj9PGLAlnmUAAAAAABU-RQ,Carl,Böttiger,1807
http://www.wikidata.org/entity/Q5573213,2320,36.40437,36.40437,seuNpYu6DKAAAAAAAABiYA,Per,Bergstrand,1834
http://www.wikidata.org/entity/Q5782847,4637,36.372612,36.372612,sj9PGLAlnmUAAAAAAB4cIA,Johan,Hagströmer,1845
http://www.wikidata.org/entity/Q94538588,2743,36.365017,36.365017,sj9PGLAlnmUAAAAAABfoqQ,Johan,Banér-Runeskiöld,1862
http://www.wikidata.org/entity/Q4444020,2100,36.26879,36.26879,YB0QHyfj0hAAAAAAAABR_A,Anders,Strinnholm,1786
http://www.wikidata.org/entity/Q5808801,4746,36.183838,36.183838,j6S8rJvx9lAAAAAAAADGGg,Carl,Hoffberg,1729
http://www.wikidata.org/entity/Q5821043,4806,36.145504,36.145504,j6S8rJvx9lAAAAAAAACNVA,Leonard,Höijer,1815
http://www.wikidata.org/entity/Q5820437,4801,36.095753,36.095753,seuNpYu6DKAAAAAAAABjjg,Johan,Höckert,1826
http://www.wikidata.org/entity/Q6195917,6600,35.976944,35.976944,sj9PGLAlnmUAAAAAABlahA,Daniel,Sundén,1828
http://www.wikidata.org/entity/Q6085718,6357,35.967453,35.967453,seuNpYu6DKAAAAAAAABj7w,Johan,Rydqvist,1800
http://www.wikidata.org/entity/Q4993033,1229,35.900078,35.900078,sj9PGLAlnmUAAAAAAB4iOw,Carl,Nordin,1749
http://www.wikidata.org/entity/Q84158518,2698,35.840233,35.840233,0piq-fX0h5AAAAAAAAAkOw,Hilda,Keyser-Almstedt,1827
http://www.wikidata.org/entity/Q6194026,6590,35.804604,35.804604,YB0QHyfj0hAAAAAAAABXrg,Carl,Styffe,1817
http://www.wikidata.org/entity/Q5780149,4622,35.59632,35.59632,sj9PGLAlnmUAAAAAABNbqQ,Peter,Gödecke,1840
