,0,1
247,M112784320,Q6248294
248,M112825160,Q6229011
249,M112825169,Q6229011
250,M112374301,Q34877449
251,M112374319,Q34877449
252,M112376873,Q5572583
253,M112376877,Q5572583
254,M112406645,Q4954629
255,M112406647,Q4954629
256,M112408424,Q4939679
257,M112410587,Q4939679
258,M112417256,Q68492889
259,M112420057,Q68492889
260,M112458144,Q4968733
261,M112480275,Q43892718
262,M112501610,Q6229351
263,M112501729,Q6229351
264,M112520493,Q87443085
265,M112520498,Q87443085
266,M112520512,Q87443085
267,M112546634,Q55362912
268,M112546672,Q55362912
269,M112546684,Q55362912
270,M112546703,Q55362912
271,M112546713,Q55362912
272,M112546729,Q55362912
273,M112565369,Q67173753
274,M112623911,Q887342
275,M112623950,Q887342
276,M112623974,Q887342
277,M112623992,Q887342
278,M112624002,Q887342
279,M112624010,Q887342
280,M112624020,Q887342
281,M112624045,Q887342
282,M112624055,Q887342
283,M112645688,Q16649064
284,M112646784,Q109647492
285,M112646790,Q109647492
286,M112647373,Q109647492
287,M112647389,Q109647492
288,M112647468,Q109647492
289,M112650783,Q887341
290,M112650787,Q887341
291,M112650789,Q887341
292,M112757745,Q5594152
293,M112757787,Q5594152
294,M112757791,Q5594152
295,M112757795,Q5594152
296,M112757799,Q5594152
297,M112757806,Q5594152
298,M112757815,Q5594152
299,M112757821,Q5594152
300,M112330493,Q5784621
301,M112330525,Q5784621
302,M112330572,Q5784621
303,M112330592,Q5784621
304,M112330620,Q5784621
305,M112330639,Q5784621
306,M112330710,Q5784621
307,M112345825,Q80547794
308,M112346014,Q80549125
309,M112346022,Q80549125
310,M112346109,Q80549125
311,M112346312,Q80547794
312,M112362449,Q5804085
313,M112362460,Q5804085
314,M112362466,Q5804085
315,M112364343,Q79300304
316,M112364370,Q79300304
317,M112373494,Q5895452
318,M112378001,Q4587885
319,M112378040,Q4587885
320,M112378652,Q55274969
321,M112378676,Q55274969
322,M112381146,Q18862686
323,M112381147,Q18862686
324,M112382654,Q5624085
325,M112382666,Q5624085
326,M112404028,Q5885688
327,M112413827,Q96236734
328,M112432816,Q5734660
329,M112432837,Q5734660
330,M112432855,Q5734660
331,M112432870,Q5734660
332,M112442563,Q98166059
333,M112491075,Q32359465
334,M112491082,Q32359465
335,M112491085,Q32359465
336,M112491092,Q32359465
337,M112491096,Q32359465
338,M112491104,Q32359465
339,M112491108,Q32359465
340,M112491111,Q32359465
341,M112645540,Q16649064
342,M112645545,Q16649064
343,M112645646,Q16649064
344,M112645654,Q16649064
345,M112645669,Q16649064
346,M112671061,Q6198065
347,M112671071,Q6198065
348,M112671092,Q6198065
349,M112718580,Q108601123
350,M112338772,Q64413249
351,M112338813,Q64413249
352,M112338979,Q64413249
353,M112339058,Q64413249
354,M112339647,Q64413249
355,M112371558,Q5895452
356,M112371562,Q5895452
357,M112407644,Q38234336
358,M112427910,Q64413192
359,M112546382,Q5940589
360,M112546424,Q5940589
361,M112546454,Q5940589
362,M112565243,Q67173753
363,M112565352,Q67173753
364,M112565390,Q67173753
365,M112565414,Q67173753
366,M112565453,Q6191926
367,M112565477,Q6191926
368,M112589967,Q6215599
369,M112589996,Q6215599
370,M112590004,Q6215599
371,M112650659,Q6203631
372,M112650661,Q6203631
373,M112652507,Q53305
374,M112652515,Q53305
375,M112652518,Q53305
376,M112652527,Q53305
377,M112652535,Q53305
378,M112652538,Q53305
379,M112705454,Q6215604
