,all,WikidataID,spaid,Littauthorid,score,FirstNameWD,LastNameWD,BirthDayWD,FirstNameSPA,LastNameSPA,BirthDaySPA,searchStr,BirthYearSPA,BirthYearWD,wd,Littbank,WD,WD_template,SPA,WikicommonsUrl,name_Ascii,name_str,CommonsCat,UploadUrl
1206,Hedvig Atterbom-Svenson 1861,,28K7pO-SRrAAAAAAAACoZw,AtterbomSvensonH,31.091814,Hedvig,,,Hedvig,Areskoug,,,1861,1861,Q100319912,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/AtterbomSvensonH'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q100319912'>Q100319912</a>,{{Q|Q100319912}},<a target=_blank href='https://portrattarkiv.se/details/28K7pO-SRrAAAAAAAACoZw'>link SPA</a>,,,,,
2135,Herman Salomon Krook 1827,,rkIpfGqHXrAAAAAAAACP5Q,KrookHS,31.078232,Herman,,,Herman,Lundborg,,,1827,1827,Q108838262,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/KrookHS'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q108838262'>Q108838262</a>,{{Q|Q108838262}},<a target=_blank href='https://portrattarkiv.se/details/rkIpfGqHXrAAAAAAAACP5Q'>link SPA</a>,,,,,
35,Mauritz Cramær 1818,,sj9PGLAlnmUAAAAAABLzMw,CramærM,30.972746,Mauritz,,,Gustaf,Lundqvist,,,1818.0,1818,Q5612990,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/CramærM'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q5612990'>Q5612990</a>,{{Q|Q5612990}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAABLzMw'>link SPA</a>,,,,,
2094,Josef Ludvig Öhlin 1829,,sj9PGLAlnmUAAAAAABNf-Q,ÖhlinJL,30.97232,Josef,,,Josef,Ek,,,1829,1829,Q108827035,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/ÖhlinJL'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q108827035'>Q108827035</a>,{{Q|Q108827035}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAABNf-Q'>link SPA</a>,,,,,
2657,Ida Lindgren 1829,,sj9PGLAlnmUAAAAAABhDvA,LindgrenI,30.966837,,,,Ida,Lindgren-Nibelius,,,1829,1829,Q115956193,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/LindgrenI'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q115956193'>Q115956193</a>,{{Q|Q115956193}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAABhDvA'>link SPA</a>,,,,,
606,Anders Berg 1841,,TNQaWo324IAAAAAAAADgvw,BergAH,30.915516,Anders,,,A H,Berg,,,,1841,Q91122512,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/BergAH'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q91122512'>Q91122512</a>,{{Q|Q91122512}},<a target=_blank href='https://portrattarkiv.se/details/TNQaWo324IAAAAAAAADgvw'>link SPA</a>,,,,,
1207,Hedvig Atterbom-Svenson 1861,,sj9PGLAlnmUAAAAAABZbbA,AtterbomSvensonH,30.896416,Hedvig,,,Hedvig,Posse,,,1861,1861,Q100319912,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/AtterbomSvensonH'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q100319912'>Q100319912</a>,{{Q|Q100319912}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAABZbbA'>link SPA</a>,,,,,
1746,Magnus Ehrenhold Andersson 1849,,sj9PGLAlnmUAAAAAABLkIQ,AnderssonME,30.88158,Magnus,,,Magnus,Brahe,,,1849,1849,Q110761324,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/AnderssonME'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q110761324'>Q110761324</a>,{{Q|Q110761324}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAABLkIQ'>link SPA</a>,,,,,
36,Mauritz Cramær 1818,,sj9PGLAlnmUAAAAAABMBtw,CramærM,30.870718,Mauritz,,,Wilhelm,von Post,,,1818.0,1818,Q5612990,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/CramærM'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q5612990'>Q5612990</a>,{{Q|Q5612990}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAABMBtw'>link SPA</a>,,,,,
230,Carl Gustaf Kröningssvärd 1786,,YB0QHyfj0hAAAAAAAABnvw,KröningssvärdCG,30.857138,Carl Gustaf,,,Carl,Schönbeck,,,1786.0,1786,Q5040252,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/KröningssvärdCG'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q5040252'>Q5040252</a>,{{Q|Q5040252}},<a target=_blank href='https://portrattarkiv.se/details/YB0QHyfj0hAAAAAAAABnvw'>link SPA</a>,,,,,
