,WikidataID,authorid_x,SBL,SKBL,wikidata.wikipedia,wikidata.wikidata_id,wikidata.sbl_link,wikidata.skbl_link,wikidata.sol_link,authorid_y,WD_Littbank_SBL_merge_outer
528,Q5950849,LiedgrenE,11363.0,,https://sv.wikipedia.org/wiki/Emil_Liedgren,Q5950849,11363.0,,,LiedgrenE,both
529,Q5951131,LignellA,11374.0,,https://sv.wikipedia.org/wiki/Anders_Lignell,Q5951131,11374.0,,,LignellA,both
530,Q5951400,LiliestråleJW,10234.0,,https://sv.wikipedia.org/wiki/Joakim_Vilhelm_Liliestr%C3%A5le,Q5951400,10234.0,,,LiliestråleJW,both
531,Q5951483,LiljaN,11390.0,,https://sv.wikipedia.org/wiki/Nils_Lilja,Q5951483,11390.0,,,LiljaN,both
532,Q730008,LiljeforsB,10244.0,,https://sv.wikipedia.org/wiki/Bruno_Liljefors,Q730008,10244.0,,,LiljeforsB,both
533,Q5951696,LiljegrenJG,10247.0,,https://sv.wikipedia.org/wiki/Johan_Gustaf_Liljegren,Q5951696,10247.0,,,LiljegrenJG,both
534,Q5952069,LilliebladGP,10316.0,,https://sv.wikipedia.org/wiki/Gustaf_Lillieblad,Q5952069,10316.0,,,LilliebladGP,both
535,Q829787,LillienstedtJP,10359.0,,https://sv.wikipedia.org/wiki/Johan_Paulinus_Lillienstedt,Q829787,10359.0,,,LillienstedtJP,both
536,Q16945353,LinckJ,10391.0,,https://sv.wikipedia.org/wiki/Josef_Linck,Q16945353,10391.0,,,LinckJ,both
537,Q5953195,LindahlP,10412.0,,https://sv.wikipedia.org/wiki/Peter_Lindahl,Q5953195,10412.0,,Peter_Lindahl,LindahlP,both
538,Q1401658,LindblomJ,10473.0,,https://sv.wikipedia.org/wiki/Jacob_Axelsson_Lindblom,Q1401658,10473.0,,,LindblomJ,both
539,Q5954735,LindebergA,10487.0,,https://sv.wikipedia.org/wiki/Anders_Lindeberg,Q5954735,10487.0,,Anders_Lindeberg,LindebergA,both
540,Q16595640,LindebergM,10485.0,MariaLindeberg,https://sv.wikipedia.org/wiki/Maria_Lindeberg,Q16595640,10485.0,MariaLindeberg,,LindebergM,both
541,Q5954810,LindebladA,10501.0,,https://sv.wikipedia.org/wiki/Assar_Lindeblad,Q5954810,10501.0,,,LindebladA,both
542,Q4692481,LindegrenA,10502.0,,https://sv.wikipedia.org/wiki/Agi_Lindegren,Q4692481,10502.0,,,LindegrenA,both
